Gondi Sentence	Telugu Translation
అర్దొ నింత జొన్నసెన్దున్ దర్బ ఇంజెర్ ఇంతెర్.	సగం నిండిన జొన్న యెన్ను దర్భ అని అంటారు.
బికరియల్ వాతెకె వోన్ దర్మ సియన.	బిచ్చగాడు వస్తే అతనికి దానం చెయ్యాలి.
సమ్దిర్కున్ కొత్తంగ్ సియ్వల్ దలల్.	అందరికి డబ్బులు ఇచ్చేవాడు దళారి.
నావ ముచ్వల్ జోర బయ్ దల్ మంత.	నేను కప్పుకునే దుప్పటి చాలా దొడ్డుగా ఉంది.
మొటక్ నగ దల్ ఆర్సంగ్ మందంతంగ్.	వాహనాలలో మందంగా ఉండే అద్దాలు ఉంటాయి.
పోడ్ద్ దలినల్ జాగతల్ పెసిత.	సూర్యుడు మబ్బునుండి వచ్చాడు.
వావ్టె జాగ్లి సొత్తొన్ తె దవ్ అర్సి పుహ్త.	చేను కాపలాకు వెళ్లినప్పుడు మంచు పడి తడిపింది.
నావ పొంటిన్ దవ్డి కీతొర్.	నా కలము పోగొట్టారు.
నావంగ్ కొత్తంగ్ దవ్డెమాతంగ్.	నా డబ్బులు పోయినాయి.
కాపితంగ్ పాన్క్ దవ్రలిక్ మందంతంగ్.	నోటు పుస్తకంలోని కమ్మలు తెల్లగా ఉంటాయి.
మా నాట్న సాడతున్ దవ్రల్ రంగ్ పాతోమ్.	మా ఊరి బడికి తెల్లని రంగు వేశాము.
పల్కున్ రోజి నొర్తెకె దవ్రలిక్ మందంతంగ్.	రోజు పళ్లు తోముకుంటే తెల్లగా ఉంటాయి.
బ్యాంక్ నగ దస్తకత్ కీసి కొత్తంగ్ యేత్వల్.	బ్యాంకులలో సంతకం చేసి డబ్బులు తీసుకోవడం.
ఉక్డె మాతెకె ఉసుమ్వల్ దస్తి.	చెమట తుడిచే దస్తి.
నహ్గ తొల్లెత దహకొత్త మంత.	నాదగ్గర పాత పది పైసలు ఉన్నాయి.
మస్తరల్ వెహ్త దహన్ నిమ్మె గిర్ వాచి కియన.	మాస్టారు చెప్పిన రీతిలో నీవు కూడ చదువుకోవాలి.
పాల్దున్ బుడ్డితగ ఇర్తెకె అద్ దహి తయర్ ఆంత.	పాలను ఒక కుండలో తోడు పెడితె పేరుగవుతుంది.
నావ పొర్రొ ద్యాన్ కీమ్.	నామీద లక్ష్యం పెట్టు.
మీవ రోన్ దాకట్ ద.	మీ ఇంటికి పోదాం పద.
నొవ్రి నొవ్రనగ వాట్వడున్ దాచెన ఇంతెర్.	వధూ వరుని దగ్గర వేసే దానిని దాచెన అంటారు.
దాడనె సారింగ్ జల్వ.	దవడతో రొట్టెను నములు.
దాడ వర్నుమ్ నొప్పి మందంత.	దవడ నొప్పి ఉంటుంది.
డాండ్వి (మంగలి) దాడి కొరిసెర్ మంతొర్.	మంగలివాడు గడ్డము గీస్తున్నాడు.
తోడి డెప్లంగ్ ఊమ్లెన్ దాతడ కామ్ సీంత.	మట్టి పెళ్లాలు గుంజడానికి దాతడ పనికి వస్తుంది.
దర్మకియ్వల్ వోర్ దాతల్.	దానం చేసేవాడు ధర్మదాత.
నావ సెల్ పోన్ విటల్ త సెల్ పోన్ దున్ దాత్నయ్.	నా సెల్ పోను కూడ విటల్ సెల్ పోను లాంటిదే.
నావ కంపుటర్ నీవతున్ దాత్న.	నా కంప్యూటర్ నీ లాంటిది.
నాకున్ డగుర్ వాలెన్ దాదల్ ఇంతెర్.	నాకన్న పెద్ద వాన్ని అన్నయ్య అంటారు.
నాకున్ సుయ్ కొట్తెర్ బతి నాకున్ దాద్ సెల్లె.	నాకు సూది ఇచ్చారు కాని నాకు స్పర్శ లేదు.
పెట్టితున్ బూడ్ దాద్ర మందంత.	కడుపు కింద పొత్తి కడుపు ఉంటుంది.
